Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014
1230,,,,,Hose rotated right,,,"Handline on into Door A, narrow fog, 95 gpm",,,,,,,,,,,,"All burners ignited, center full open, sides at 50%",,,,,,,,,,,,,,,,,,,,
1241,,,,,,,,,,,,,,,,Roof vent closed,,,,,,,,,,,,,,,,,,,,,,,,
1243,,,,,,,,,,,,,,,,,,,,Igntion on all burners,,,,,,,,,,,,,,,,,,,,
1260,,,,,Hose fixed,,,,,"Opened small hole in Door A, 8 in by 9 in",,Left burner ignited,Left burner off,Left burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,,,,,,,,,,,,,,,,Left burner ignited,,,,,,,,,,,,,,,,,,,,,,,,
1290,,,,Fixed straight stream at Room C ceiling,Hose rotated left,,,,,,,,,,Roof vent closed,Center burner ignited,,,,,,,,,,,,,,,,,,,,,,,,
1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fan off,,,,,,,
1305,,,,,,,,,,,,,,,,Right burner ignited,,,,,,,,,,,,,,,,,,,,,,,,
1320,,,,Hose rotated right,Hose fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,All burners off,,,,,,,
1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rear door open,,,,,,,,
1350,,,,Hose fixed,Rear door opened,,,,"Monitor on, wide fog, 95 gpm",,,,,,,,,,,All burners full open,,,,,,,,,,,,,,,,,,,,
1380,,,,Hose rotated left,Hose rotated right,,,,,,,,,,Right burner off,,,,,,,,,,,,,,,,,,,,,,,,,
1395,,,,,,,,,,,,,,,,BC door opened,,,,,,,,,,,,,,,,,,,,,,,,
1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st floor A door opened,,,,,,,
1400,,,,,,,,,,,,,,,Center burner off,,,,,,,,,,,,,,,,,,,,,,,,,
1410,,,,Hose fixed,Hose fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,,,,,,,,,,,,,,,,,,,,"All burners off, fan off",,,,,,,,,,,,,,,,,,,,
1420,,,,,,,,,,,,,,,Left burner off,,,,,,,,,,,,,,,,,,,,,,,,,
1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water on fire,,,,,,,,
1429,,,,,,,,,Monitor off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,,,,,,,,,Smoke explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,,,,Rear door opened,Hose rotated left,,,,,,,Center burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,,,,Hose rotated right,Hose fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,,,,,,,,,,,,,,,,Roof vent opened,,,,,,,,,,,,,,,,,,,,,,,,
1500,,,,Hose fixed,Rear door closed,,,,"Opened small hole in Door A, 8 in by 9 in","Handline attack from C Doors, moved in for suppression SS, 95 gpm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,,,,,,,,,"Handline into fire room through hole, narrow fog, 95 gpm ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,,,,Hose rotated left,Water flow stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,,,,Hose fixed,,,,,,Handline off (check video),,,PPV at A door,PPV at A door,,,,,,,,,,,,,,,,,,,Fan on,,,,,,,
1565,,,,,,,,,,,,,,,Roof vent opened,,,,,,,,,,,,,,,,,,,,,,,,,
1575,,,,,,,,,,,,,,,,All burners off,,,,,,,,,,,,,,,,,,,,,,,,
1590,,,,Rear door closed,Fixed narrow fog stream at Door BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,,,,,Hose rotated right,,,,,,,Right burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,,,,,,,,,Handline off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water off,,,,,,,,
1645,,,,,,,,,,,,,,,,CD door opened,,,,,,,,,,,,,,,,,,,,,,,,
