Time (s),TC1_0-3mBC,TC1_0-61mBC,TC1_0-91mBC,TC1_1-22mBC,TC1_1-52mBC,TC1_1-83mBC,TC2_0-3mBC,TC2_0-61mBC,TC2_0-91mBC,TC2_1-22mBC,TC2_1-52mBC,TC2_1-83mBC,TC3_0-3mBC,TC3_0-61mBC,TC3_0-91mBC,TC3_1-22mBC,TC3_1-52mBC,TC3_1-83mBC,TC4_0-3mBC,TC4_0-61mBC,TC4_0-91mBC,TC4_1-22mBC,TC4_1-52mBC,TC4_1-83mBC,Event,Comment
74,19.881471,19.725633,20.09044,20.155403,19.915439,19.750731,20.342369,20.144767,20.133079,19.990982,20.050125,19.963568,20.305266,20.110674,19.732647,19.535077,19.846628,19.439107,19.884425,19.852004,19.398519,19.54842,19.338045,19.362355,0.00028,
75,19.837948,19.758043,20.00891,20.187775,19.909856,19.821077,20.336788,20.101216,20.203419,20.02334,19.9307,20.033875,20.299685,20.105092,19.802992,19.529492,19.841044,19.395526,19.916818,19.846421,19.430921,19.580804,19.33246,19.280789,0.000128,
76,19.767648,19.725633,20.014492,20.193357,19.915439,19.82666,20.342369,20.106798,20.171041,19.990982,19.974232,20.039458,20.343216,20.03477,19.846538,19.535077,19.846628,19.477101,19.846447,19.852004,19.474492,19.472478,19.376027,19.324365,0.00028,
77,19.735289,19.655228,19.906145,20.198939,19.958979,19.756315,20.34795,20.07441,20.176623,19.958622,19.979815,20.045041,20.348797,20.078305,19.814159,19.540662,19.852211,19.520679,19.890009,19.895548,19.442092,19.478063,19.381613,19.329951,0.000128,
78,19.735289,19.693223,19.9821,20.160985,19.845106,19.832244,20.309992,20.11238,20.138662,19.996565,19.979815,20.082983,20.386746,20.116257,19.814159,19.578636,19.852211,19.482687,19.927985,19.819626,19.442092,19.554005,19.343631,19.329951,0.000433,
79,19.686176,19.720049,19.932956,20.149821,19.833939,19.783112,20.374745,20.101216,20.127497,20.06128,19.9307,20.071819,20.261734,20.105092,19.727063,19.567466,19.841044,19.395526,19.916818,19.808458,19.430921,19.504864,19.370442,19.242797,0.000128,
80,19.621452,19.655228,19.868165,20.160985,19.845106,19.79428,20.309992,20.036438,20.176623,19.958622,20.017762,20.007097,20.348797,20.154207,19.814159,19.578636,19.852211,19.444693,19.852031,19.743698,19.442092,19.516035,19.305649,19.367941,0.00028,
81,19.615868,19.687639,19.900561,20.193357,19.915439,19.712764,20.304411,20.068827,20.171041,19.990982,19.974232,20.001514,20.267315,20.072723,19.846538,19.535077,19.846628,19.401112,19.884425,19.814042,19.436506,19.510449,19.338045,19.324365,0.000433,
82,19.735289,19.655228,19.906145,20.198939,19.883065,19.718349,20.309992,20.150349,20.176623,19.996565,19.979815,20.082983,20.310848,20.078305,19.814159,19.578636,19.890156,19.482687,19.852031,19.857588,19.404105,19.554005,19.381613,19.291961,0.00028,
83,19.69176,19.687639,19.862582,20.079492,19.877481,19.750731,20.380326,20.106798,20.209001,20.028923,19.974232,20.115343,20.305266,20.03477,19.694681,19.535077,19.884572,19.477101,19.846447,19.738114,19.436506,19.54842,19.300062,19.286375,0.000433,
84,19.653815,19.725633,19.862582,20.079492,19.915439,19.750731,20.342369,20.068827,20.133079,20.028923,19.936283,20.115343,20.305266,20.072723,19.846538,19.573051,19.770735,19.439107,19.884425,19.738114,19.436506,19.54842,19.376027,19.362355,0.000433,
85,19.632622,19.742387,19.879333,20.134196,19.93219,19.691551,20.321155,20.047604,20.187788,20.121549,20.028928,20.094149,20.322011,20.127422,19.825327,19.589806,19.863379,19.53185,19.901176,19.868755,19.453264,19.527206,19.354804,19.265143,0.00028,
86,19.659399,19.807203,19.944123,20.00916,19.883065,19.718349,20.309992,19.998466,20.176623,20.034505,20.017762,20.082983,20.310848,20.078305,19.814159,19.578636,19.890156,19.482687,19.852031,19.857588,19.518062,19.591974,19.381613,19.291961,0.00028,
87,19.653815,19.763627,19.862582,20.041535,19.915439,19.750731,20.304411,20.030856,20.209001,19.990982,19.936283,20.039458,20.305266,20.110674,19.770612,19.535077,19.884572,19.439107,19.884425,19.814042,19.436506,19.510449,19.414008,19.362355,-2.49E-05,
88,19.69176,19.763627,19.862582,20.117448,19.801562,19.788696,20.266451,20.068827,20.133079,20.028923,19.974232,19.963568,20.305266,20.110674,19.770612,19.535077,19.846628,19.439107,19.846447,19.852004,19.436506,19.54842,19.338045,19.286375,0.000433,
89,19.697345,19.807203,19.9821,20.123031,19.845106,19.756315,20.234072,20.11238,20.176623,20.034505,20.017762,20.082983,20.272897,20.078305,19.814159,19.578636,19.852211,19.444693,19.814052,19.857588,19.442092,19.554005,19.305649,19.291961,0.00028,
90,19.659399,19.769211,19.906145,20.160985,19.958979,19.832244,20.272033,20.07441,20.062736,19.996565,19.979815,20.045041,20.348797,20.116257,19.814159,19.616609,19.852211,19.444693,19.776073,19.857588,19.518062,19.554005,19.419593,19.291961,0.00028,
91,19.697345,19.807203,19.944123,20.160985,19.883065,19.756315,20.158148,20.036438,20.062736,20.034505,20.017762,20.120925,20.348797,20.078305,19.776196,19.616609,19.928099,19.444693,19.852031,19.857588,19.480078,19.516035,19.343631,19.329951,0.000433,
92,19.659399,19.845194,19.944123,20.123031,19.958979,19.718349,20.196111,20.036438,20.176623,19.996565,19.903916,20.082983,20.310848,20.040353,19.776196,19.540662,19.890156,19.406698,19.814052,19.857588,19.480078,19.554005,19.419593,19.367941,0.000433,
93,19.659399,19.731218,20.020075,20.198939,19.883065,19.79428,20.196111,20.036438,20.062736,19.996565,19.979815,20.082983,20.272897,20.040353,19.852121,19.616609,19.890156,19.482687,19.890009,19.857588,19.442092,19.554005,19.343631,19.367941,0.00028,
94,19.697345,19.807203,19.9821,20.160985,19.921022,19.832244,20.272033,20.036438,20.062736,20.034505,20.093653,20.045041,20.348797,20.154207,19.776196,19.502686,19.890156,19.444693,19.890009,19.781663,19.442092,19.554005,19.381613,19.329951,0.000128,
95,19.664984,19.850777,20.025658,20.128613,19.926606,19.87579,20.239654,19.966075,20.068318,20.040088,19.985398,20.050624,20.278479,20.159789,19.857705,19.584221,19.857795,19.488272,19.895592,19.863171,19.447678,19.55959,19.463158,19.259556,0.000433,
