Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
133,778.8915615,729.7098139,630.1929282,521.1356553,480.1634955,381.7350537,298.5425996,237.0552239,200.3076847,172.7145307,163.3657672,141.5538268,,1.753705035,2.371611697,2.062658366
134,776.624152,716.4381746,622.9250115,522.9891271,476.6131565,382.9772096,306.7347588,245.1602192,204.8824705,175.7792215,166.6635988,145.2898726,,1.8530985,2.413023529,2.133061015
135,777.1652953,701.9607669,606.3492311,503.5638437,460.104761,372.866369,300.5073105,241.4146648,205.1049845,176.6005043,169.4566278,148.6897378,,1.84299069,2.453964772,2.148477731
136,785.6481771,702.5570078,604.1757781,495.0491101,447.6918518,371.9645313,301.2489436,237.7840641,202.242829,176.7485345,169.5612192,147.493906,,1.912734579,2.37176856,2.14225157
137,796.5197642,699.9010907,602.3904448,497.645032,447.9369954,380.8431516,308.5918028,243.9030341,206.621058,182.2283821,173.307614,149.0183997,,1.918125411,2.372552875,2.145339143
138,767.0150457,672.6598964,581.8256496,477.9831578,436.8352378,374.3465965,299.8090078,237.550137,201.3185862,178.57365,171.1199853,146.4353065,,1.950470403,2.311846894,2.131158649
139,734.2167343,663.5783157,563.818349,456.7590416,418.3395174,358.768903,287.1090226,228.6232115,194.5850852,170.4614962,163.2968231,139.5145832,,1.988543154,2.267768391,2.128155773
140,721.8335759,635.3030225,538.7621086,441.2943982,403.803222,346.9009699,278.8789358,218.9471184,187.2099573,163.724655,155.7775786,133.6613269,,2.063677875,2.217415368,2.140546622
141,714.6611447,621.0584577,529.5404429,436.6436282,398.4895537,338.6640332,271.4792651,213.5556999,182.7205212,158.9943275,151.6387792,129.6903899,,1.881737295,2.146670155,2.014203725
142,695.5318168,593.1647985,520.3403804,421.7900171,384.0692228,328.988548,265.197907,209.401826,178.1415503,154.4474988,147.8220665,127.2913787,,2.057613189,2.21961145,2.13861232
143,681.5678616,592.5722912,514.3952426,411.9956329,376.0337544,322.446246,261.33624,208.273254,175.4900401,151.9207261,145.022613,124.95601,,1.909702236,2.156081935,2.032892086
144,710.4449493,614.7385029,528.2965357,419.3563849,399.0529638,328.7473065,260.6993287,206.3925792,172.2746901,150.9658933,145.3267236,125.7494428,,1.928907075,2.146199566,2.037553321
145,693.3524197,598.4509584,513.2798542,413.2816322,396.4299287,322.2244134,258.7076745,203.1339143,170.5036201,153.089549,150.3627535,128.3002022,,2.019540438,2.192631014,2.106085726
