Day of the Week ,Date Time ,Outside Temperature TX1 (°F),Outside Humidity TX1 (%),Wind Speed TX1 (mph),High Wind Speed TX1 (mph),Dominant Wind Dir TX1,Rain Amount TX1 (in),Outside Temperature TX2 (°F),Outside Humidity TX2 (%),Wind Speed TX2 (mph),High Wind Speed TX2 (mph),Dominant Wind Dir TX2,Rain Amount TX2 (in),Inside Temperature (°F),Inside Humidity (%),Barometric Pressure (in)
Tue, 07-01-2014 02:02:00,72.3,86,0.0,0.0,,0.00,72.1,87,0.0,0.0,,0.00,79.0,59,29.93
Tue, 07-01-2014 02:03:00,72.3,86,0.0,0.0,,0.00,72.1,87,0.0,0.0,,0.00,79.0,59,29.93
Tue, 07-01-2014 02:04:00,72.3,87,0.0,0.0,,0.00,72.1,87,0.0,0.0,,0.00,79.0,59,29.93
Tue, 07-01-2014 02:05:00,72.2,87,0.1,1.0,,0.00,72.1,87,0.4,1.0,WSW,0.00,79.0,59,29.93
Tue, 07-01-2014 02:06:00,72.3,87,0.2,1.0,SSW,0.00,72.1,87,0.3,1.0,WSW,0.00,78.9,59,29.93
Tue, 07-01-2014 02:07:00,72.3,87,0.4,1.0,SSW,0.00,72.2,86,0.4,1.0,WSW,0.00,78.9,59,29.93
Tue, 07-01-2014 02:08:00,72.2,87,0.3,1.0,SSW,0.00,72.2,86,0.8,2.0,SW,0.00,78.9,59,29.93
Tue, 07-01-2014 02:09:00,72.3,87,0.4,2.0,SSW,0.00,72.2,86,0.3,1.0,SW,0.00,78.9,59,29.93
Tue, 07-01-2014 02:10:00,72.3,87,0.4,2.0,SSW,0.00,72.2,86,0.4,1.0,SW,0.00,78.9,59,29.93
Tue, 07-01-2014 02:11:00,72.3,86,0.3,1.0,SSW,0.00,72.2,86,0.4,1.0,SSW,0.00,78.8,59,29.93
Tue, 07-01-2014 02:12:00,72.3,86,0.1,1.0,SSW,0.00,72.2,86,0.3,1.0,SSW,0.00,78.8,59,29.93
Tue, 07-01-2014 02:13:00,72.3,86,0.2,1.0,SSW,0.00,72.3,86,0.5,1.0,SW,0.00,78.8,59,29.93
Tue, 07-01-2014 02:14:00,72.3,86,0.9,2.0,SSW,0.00,72.3,86,0.4,1.0,SSW,0.00,78.8,59,29.93
Tue, 07-01-2014 02:15:00,72.3,86,1.3,2.0,SSW,0.00,72.3,86,0.8,2.0,SSW,0.00,78.8,59,29.93
Tue, 07-01-2014 02:16:00,72.3,86,1.3,2.0,S,0.00,72.3,86,0.6,2.0,SSW,0.00,78.8,59,29.93
Tue, 07-01-2014 02:17:00,72.4,86,0.6,1.0,S,0.00,72.4,86,0.3,1.0,SSW,0.00,78.8,59,29.93
Tue, 07-01-2014 02:18:00,72.4,87,0.3,1.0,S,0.00,72.4,86,0.3,1.0,SSW,0.00,78.8,59,29.93
Tue, 07-01-2014 02:19:00,72.4,87,0.9,2.0,S,0.00,72.5,86,1.4,2.0,S,0.00,78.8,59,29.93
Tue, 07-01-2014 02:20:00,72.4,87,0.8,1.0,S,0.00,72.5,86,0.3,1.0,S,0.00,78.7,59,29.93
Tue, 07-01-2014 02:21:00,72.4,87,1.0,2.0,S,0.00,72.5,86,1.1,2.0,S,0.00,78.7,59,29.93
Tue, 07-01-2014 02:22:00,72.4,87,0.9,2.0,S,0.00,72.6,86,0.7,2.0,S,0.00,78.7,59,29.93
Tue, 07-01-2014 02:23:00,72.4,87,1.2,2.0,S,0.00,72.6,86,0.4,1.0,S,0.00,78.7,59,29.93
Tue, 07-01-2014 02:24:00,72.4,87,1.1,2.0,S,0.00,72.6,86,0.4,1.0,S,0.00,78.7,59,29.92
Tue, 07-01-2014 02:25:00,72.4,87,0.1,1.0,S,0.00,72.6,86,0.3,1.0,S,0.00,78.7,59,29.92
Tue, 07-01-2014 02:26:00,72.4,87,0.4,2.0,S,0.00,72.6,86,0.8,2.0,SSW,0.00,78.7,59,29.92
Tue, 07-01-2014 02:27:00,72.4,87,0.1,1.0,S,0.00,72.6,86,0.8,2.0,SSW,0.00,78.6,59,29.92
Tue, 07-01-2014 02:28:00,72.4,87,0.4,1.0,S,0.00,72.7,85,1.0,3.0,SSW,0.00,78.6,59,29.92
Tue, 07-01-2014 02:29:00,72.4,86,1.1,2.0,S,0.00,72.7,85,0.9,2.0,SSW,0.00,78.6,59,29.92
Tue, 07-01-2014 02:30:00,72.4,86,1.3,2.0,SW,0.00,72.6,85,1.0,2.0,S,0.00,78.6,59,29.92
Tue, 07-01-2014 02:31:00,72.4,86,0.3,1.0,SW,0.00,72.6,85,0.3,1.0,S,0.00,78.6,59,29.92
Tue, 07-01-2014 02:32:00,72.4,86,0.4,2.0,S,0.00,72.6,86,1.1,2.0,SSW,0.00,78.6,59,29.92
Tue, 07-01-2014 02:33:00,72.4,86,1.1,3.0,SSW,0.00,72.6,86,1.3,3.0,SW,0.00,78.6,59,29.92
Tue, 07-01-2014 02:34:00,72.4,86,1.2,2.0,SSW,0.00,72.6,85,1.9,3.0,SSW,0.00,78.5,60,29.92
Tue, 07-01-2014 02:35:00,72.4,86,0.8,2.0,SSW,0.00,72.6,86,1.6,3.0,SW,0.00,78.6,60,29.92
Tue, 07-01-2014 02:36:00,72.4,86,0.8,2.0,SSW,0.00,72.6,85,1.4,2.0,SW,0.00,78.5,60,29.92
Tue, 07-01-2014 02:37:00,72.4,86,1.9,3.0,SSW,0.00,72.6,85,0.8,2.0,SSW,0.00,78.5,60,29.92
Tue, 07-01-2014 02:38:00,72.4,86,0.9,2.0,SSW,0.00,72.6,85,0.8,2.0,SSW,0.00,78.5,60,29.92
Tue, 07-01-2014 02:39:00,72.5,86,0.9,2.0,S,0.00,72.5,85,2.1,3.0,SSW,0.00,78.5,60,29.92
Tue, 07-01-2014 02:40:00,72.4,86,0.7,2.0,S,0.00,72.5,85,0.8,2.0,SSW,0.00,78.5,60,29.92
Tue, 07-01-2014 02:41:00,72.5,86,0.1,1.0,SW,0.00,72.5,86,0.9,2.0,SSW,0.00,78.4,60,29.92
Tue, 07-01-2014 02:42:00,72.5,86,0.3,1.0,SSW,0.00,72.5,86,1.6,2.0,SSW,0.00,78.4,60,29.92
Tue, 07-01-2014 02:43:00,72.5,86,0.7,2.0,SSW,0.00,72.5,86,0.9,2.0,SSW,0.00,78.4,60,29.92
Tue, 07-01-2014 02:44:00,72.5,86,0.1,1.0,SSW,0.00,72.5,86,0.8,2.0,SSW,0.00,78.4,60,29.92
Tue, 07-01-2014 02:45:00,72.5,86,0.1,1.0,SSW,0.00,72.5,86,1.9,3.0,W,0.00,78.4,60,29.91
Tue, 07-01-2014 02:46:00,72.5,86,0.2,1.0,SSW,0.00,72.4,86,0.5,1.0,SSW,0.00,78.4,60,29.91
Tue, 07-01-2014 02:47:00,72.4,86,0.3,1.0,SSW,0.00,72.4,86,0.6,2.0,SSW,0.00,78.4,60,29.91
Tue, 07-01-2014 02:48:00,72.4,86,1.4,3.0,SSW,0.00,72.4,86,1.6,3.0,SSW,0.00,78.4,60,29.91
Tue, 07-01-2014 02:49:00,72.4,86,1.8,3.0,SSW,0.00,72.4,86,1.4,2.0,SSW,0.00,78.4,60,29.91
Tue, 07-01-2014 02:50:00,72.4,86,1.1,3.0,SSW,0.00,72.4,86,0.4,2.0,SSW,0.00,78.4,60,29.91
Tue, 07-01-2014 02:51:00,72.4,86,0.6,2.0,SSW,0.00,72.4,86,0.7,2.0,SSW,0.00,78.3,60,29.91
Tue, 07-01-2014 02:52:00,72.4,86,0.4,1.0,SSW,0.00,72.4,86,1.8,3.0,SW,0.00,78.3,60,29.91
Tue, 07-01-2014 02:53:00,72.4,86,0.8,2.0,SW,0.00,72.4,86,0.9,2.0,WSW,0.00,78.3,60,29.91
Tue, 07-01-2014 02:54:00,72.4,86,0.8,2.0,SW,0.00,72.5,86,1.4,3.0,SW,0.00,78.3,60,29.91
