Time,PUF 1,PUF 2,PUF 3,PUF 4
414,0.0008072,-0.0037333,-0.0059531,0.0001009
415,0.0062558,-0.0064576,-0.008072,0.0014126
416,0.0013117,-0.0007063,-0.0108972,0.0025225
417,0.0032288,-0.0037333,-0.0079711,0.0041369
418,0.0051459,-0.0074666,-0.0055495,0.0003027
419,-0.0006054,-0.007063,-0.0039351,-0.0008072
420,-0.0018162,-0.0038342,-0.0046414,-0.0005045
421,0.0007063,-0.0064576,-0.0052468,0.0018162
422,-0.0059531,-0.0063567,-0.0087783,0.0057513
423,-0.0042378,-0.0113007,-0.0068612,0.0031279
424,-0.0023207,-0.0098881,-0.0058522,0.0055495
425,0.0021189,-0.0074666,-0.0084756,0.0023207
426,0.0046414,-0.0074666,-0.0069621,0.0053477
427,0.0051459,-0.0042378,-0.009081,0.0062558
428,-0.0002018,-0.0022198,-0.008072,0.0043387
429,0.0042378,0.0008072,-0.0015135,0.0043387
430,0.0092828,0.0003027,0.0021189,0.0012108
431,0.0075675,0.0009081,0.0041369,-0.0017153
432,0.0024216,-0.0009081,-0.0069621,-0.0031279
433,0.002018,0.0032288,-0.0078702,-0.001009
434,0.002018,-0.0002018,-0.0073657,-0.0041369
435,0.0005045,0.001009,-0.0026234,-0.0033297
436,0.0017153,0.0063567,-0.0016144,-0.0003027
437,0.0009081,0.0047423,-0.0081729,0.0015135
438,0.0029261,0.0032288,-0.0067603,0.0048432
439,0.0085765,-0.0021189,-0.0083747,0.0071639
440,-0.0002018,-0.0028252,-0.0071639,0.0071639
441,-0.0045405,0,-0.0011099,0.0019171
442,0.0004036,-0.0015135,-0.0041369,0.008072
443,-0.0061549,0.0026234,-0.0052468,0.0075675
444,0.0023207,0.0003027,-0.0101909,0.0057513
445,0.0092828,0.0006054,-0.0088792,0.0004036
446,0.0114017,0.0022198,-0.0096864,-0.0039351
447,0.0127134,0.0028252,-0.0048432,-0.006054
448,0.0077693,0.0067603,-0.0039351,-0.004036
449,0.0053477,0.0136215,-0.0025225,0.0006054
450,0.0015135,0.0144287,-0.0053477,-0.0024216
451,0.001009,0.0139242,-0.0087783,-0.0041369
452,0.0034306,0.011099,-0.0124107,-0.005045
453,-0.0018162,0.009081,-0.0115026,-0.0033297
454,-0.003027,0.0061549,-0.0117044,-0.0038342
455,-0.001009,0.0035315,-0.0120071,-0.0035315
456,-0.0026234,-0.004036,-0.0103927,-0.0005045
457,0.0006054,-0.0072648,-0.0108972,-0.0046414
458,0.0012108,-0.0016144,-0.0142269,-0.0056504
459,-0.0024216,-0.0002018,-0.0162449,-0.0078701
460,-0.0033297,0.0001009,-0.0136215,-0.0072648
461,-0.0007063,0.0038342,-0.0114017,-0.0056504
462,0.0018162,0.0062558,-0.014126,-0.0096863
463,0.0038342,0.0031279,-0.0091819,-0.0061549
464,0.0066594,0.0028252,-0.0083747,-0.0043387
465,0.0041369,-0.0013117,-0.0123098,-0.0019171
466,0.0012108,-0.0032288,-0.0108972,0.0022198
467,0.0018162,-0.0048432,-0.0106954,-0.0021189
468,0.0023207,-0.0039351,-0.0087783,-0.003027
469,0.0002018,-0.0089801,-0.0132179,-0.0007063
470,-0.0064576,-0.0028252,-0.0132179,-0.0039351
471,-0.0001009,-0.0042378,-0.0150341,-0.0018162
472,-0.0012108,-0.0047423,-0.0134197,0.0012108
473,-0.0011099,-0.008072,-0.01009,-0.0005045
474,0.0013117,-0.0075675,-0.0076684,-0.0063567
475,-0.0052468,-0.0031279,-0.0095855,-0.0043387
476,-0.002018,-0.0025225,-0.0125116,-0.0067603
477,-0.0044396,-0.0009081,-0.0111999,-0.004036
