Time,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC_DataRoom,DP_OBW_1-2mBC,DP_CBW_1-2mBC,,,
59,29.788023,24.998711,22.42071,18.171011,16.185185,15.589764,15.284219,13.413306,73.715489,66.747403,55.553678,47.702752,23.030373,17.363454,11.390003,16.792874,21.719586,19.988153,17.484063,16.332786,15.888494,15.134514,15.155247,14.446094,12.492293,0.885319968,-0.53919936,,,
60,30.228318,26.045522,23.091199,18.387979,16.17396,15.616643,15.234875,13.363912,77.260652,72.568392,57.938114,48.765803,24.344208,17.580582,11.416958,16.933911,21.632565,19.939017,17.586997,16.321562,15.915361,15.161384,15.105899,14.472968,12.753854,0.976380768,-0.4632656,,,
61,30.352221,26.698468,24.08623,18.817397,16.261312,15.742193,15.207996,13.451452,79.764611,73.899083,58.832677,50.219734,25.489783,17.820096,11.504647,16.754808,21.681664,20.026095,17.59821,16.370853,15.964682,15.172617,15.117133,14.56043,12.873965,-0.041012192,-0.41768544,,,
62,31.092937,27.517364,24.45326,19.262268,16.250087,15.769069,15.234875,13.402059,83.568282,74.694834,59.962777,51.982959,26.309812,18.227333,11.5316,16.629379,21.860086,20.242534,17.739178,16.588009,16.143908,15.275688,15.258352,14.51108,12.988449,0.156435488,-0.38723232,,,
63,33.050653,28.389973,24.950271,19.191868,16.293761,15.774684,15.278603,13.407683,83.353559,72.280475,61.182158,48.401019,26.919453,18.727285,11.613654,16.82533,21.789838,20.248129,17.858909,16.441372,16.035253,15.205103,15.149631,14.5167,12.84142,0.050148128,-0.4632656,,,
64,33.538136,29.444557,25.36593,19.343863,16.331822,15.85089,15.316713,13.407683,86.803503,71.69381,62.174974,46.362916,27.372286,18.993391,11.690075,16.977582,21.903588,20.248129,17.896948,16.669738,16.111433,15.319404,15.302079,14.592921,12.753854,0.019695008,-0.43281248,,,
65,33.538136,30.046703,25.743662,19.875696,16.331822,15.888992,15.354822,13.407683,84.234145,70.997103,62.983675,47.252647,27.447739,18.993391,11.842906,17.167872,21.979415,20.361927,18.011058,16.631679,16.149521,15.243204,15.263968,14.554811,12.677521,-0.223233312,-0.4936192,,,
66,33.404746,30.665131,26.364451,20.727732,16.500888,15.905833,15.371669,13.424552,85.608272,74.753112,63.257186,50.008726,27.238041,19.010191,12.089012,17.222751,22.109903,20.568345,18.065906,16.800736,16.204446,15.298153,15.395144,14.647886,12.524845,-0.162526112,-0.50874624,,,
67,33.987922,31.287546,26.800608,21.431836,16.484054,15.927092,15.431037,13.407683,86.693355,77.596532,64.122841,52.985469,28.088878,18.993391,12.263124,17.205927,22.396374,20.703256,18.201219,16.936115,16.339948,15.357502,15.416404,14.592921,12.377775,-0.116945952,-0.5543264,,,
68,34.544367,31.920665,27.285419,22.070866,16.516498,15.959578,15.463527,13.363912,88.193587,77.151168,65.660198,55.636014,30.418317,18.98779,12.524855,17.200318,22.428687,20.583897,18.157584,16.968555,16.296252,15.351886,15.37268,14.51108,12.301425,0.293076448,-0.09872384,,,
69,35.079644,32.795177,27.48508,22.802055,16.565775,16.047001,15.512863,13.375159,90.114975,78.665222,67.066323,57.304917,31.21911,19.151025,12.994335,17.515931,22.667214,20.670928,18.282879,17.055869,16.34556,15.439312,15.536335,14.446094,12.225071,0.247496288,-0.2353648,,,
70,36.196633,33.389892,27.931891,23.591746,16.636269,15.965192,15.583455,13.369536,93.750341,79.099823,68.455789,59.434553,31.100792,19.183431,13.255951,17.776613,22.775294,20.58949,18.353327,17.088307,16.37803,15.357502,15.568823,14.5167,12.230692,0.763806048,-0.32652512,,,
